Date,Open,High,Low,Close,Adj Close,Volume
2023-06-27,2501.000000,2510.000000,2486.399902,2495.800049,2487.014404,148922
2023-06-28,2516.000000,2537.250000,2497.699951,2529.350098,2520.446289,171621
2023-06-30,2540.050049,2556.699951,2533.000000,2550.699951,2541.720947,289824
2023-07-03,null,null,null,null,null,null
2023-07-04,null,null,null,null,null,null
2023-07-05,null,null,null,null,null,null
2023-07-06,null,null,null,null,null,null
2023-07-07,2632.800049,2665.000000,2627.399902,2635.449951,2626.172607,576768
2023-07-10,2686.000000,2755.000000,2672.750000,2735.149902,2725.521729,1110570
2023-07-11,null,null,null,null,null,null
2023-07-12,null,null,null,null,null,null
2023-07-13,null,null,null,null,null,null
2023-07-14,2751.050049,2760.800049,2723.750000,2738.899902,2729.258545,499323
2023-07-17,2746.699951,2816.000000,2728.550049,2796.399902,2786.556152,453640
2023-07-18,null,null,null,null,null,null
2023-07-19,2832.000000,2855.000000,2796.449951,2840.000000,2830.002686,782335
2023-07-20,2589.000000,2632.000000,2582.000000,2619.800049,2610.577881,400680
2023-07-21,2603.000000,2613.800049,2523.350098,2536.199951,2527.271973,896988
2023-07-24,2484.000000,2514.800049,2469.550049,2487.550049,2478.793457,228305
2023-07-25,null,null,null,null,null,null
2023-07-26,2480.100098,2547.250000,2480.100098,2525.699951,2516.809082,132959
2023-07-27,null,null,null,null,null,null
2023-07-28,2509.050049,2541.899902,2501.000000,2527.600098,2518.702393,644967
2023-07-31,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-08-02,null,null,null,null,null,null
2023-08-03,2471.449951,2499.899902,2458.000000,2474.949951,2466.237549,210947
2023-08-04,2485.000000,2517.199951,2472.000000,2510.149902,2501.313721,709795
2023-08-07,2515.000000,2528.350098,2505.050049,2523.449951,2514.566895,293130
2023-08-08,2525.300049,2534.600098,2499.449951,2505.649902,2496.829590,151755
2023-08-09,2507.000000,2529.399902,2481.000000,2523.550049,2514.666748,212798
2023-08-10,2527.000000,2550.000000,2508.800049,2535.649902,2526.723877,200827
2023-08-11,2535.449951,2558.300049,2512.100098,2548.000000,2539.030518,297470
2023-08-14,2533.050049,2582.000000,2524.199951,2576.750000,2567.679443,407900
